customer_id,first_name,last_name,Emails,first_transaction_date,city,total_transactions,total_transaction_amount
1036,Ulysses,Johnson:&OrsAKo,"Ulysses.Johnson@gmail.com,Ulysses.Johnson@company.net",07-04-2015,Helena,12,2700
1037,Chester,Van Buren:&apj3JP,Chester.Van Buren@yahoo.com,11-10-2016,Trenton,13,4107
1038,Dwight,Harrison:&xiKk8i,Dwight.Harrison@yahoo.com,22-08-2015,Tallahassee,19,3226
1039,Ulysses,Clinton:&bTkDE1,Ulysses.Clinton@gmail.org,15-04-2015,Honolulu,12,4526
1040,Lyndon,Coolidge:&S0ErTR,Lyndon.Coolidge@gmail.com,15-10-2016,Honolulu,5,4232
1041,Andrew,Buchanan:&uF2Vc1,"Andrew.Buchanan@gmail.com,Andrew.Buchanan@company.org",30-06-2015,Atlanta,10,3900
1042,Harry,Harrison:&SF4Nir,Harry.Harrison@gmail.com,06-10-2015,Phoenix,20,2933
1043,John,Hayes:&ylUPqO,"John.Hayes@yahoo.org,John.Hayes@company.net",14-03-2015,Dover,4,2051
1044,Calvin,Jackson:&lv1YaP,"Calvin.Jackson@gmail.com,Calvin.Jackson@company.net",19-03-2015,Harrisburg,4,4898
1045,George,Wilson:&dmj3X8,George.Wilson@gmail.com,07-08-2015,Frankfort,6,3801
1046,Dwight,Garfield:&bHsqvs,Dwight.Garfield@yahoo.net,30-09-2016,Annapolis,17,2185
1047,Chester,Adams:&jawySF,Chester.Adams@yahoo.com,23-03-2015,Pierre,5,4909
1048,Ronald,Truman:&ZyVOsv,Ronald.Truman@yahoo.net,14-11-2016,Carson City,3,3306
1049,Woodrow,Wilson:&P6pvjV,"Woodrow.Wilson@yahoo.org,Woodrow.Wilson@company.com",26-01-2015,Augusta,14,2875
1050,Andrew,Eisenhower:&fUBpMb,"Andrew.Eisenhower@yahoo.com,Andrew.Eisenhower@company.net",19-01-2016,Charleston,15,3288
1051,James,Madison:&a4G7lT,James.Madison@yahoo.com,23-05-2015,Baton Rouge,10,4200
1052,Abraham,Arthur:&dIrnz9,Abraham.Arthur@yahoo.org,10-12-2015,Olympia,7,4956
1053,Harry,Hoover:&qJw6G3,"Harry.Hoover@gmail.org,Harry.Hoover@company.org",04-08-2016,Denver,10,2816
1054,Grover,Eisenhower:&0RQKQU,"Grover.Eisenhower@gmail.net,Grover.Eisenhower@company.net",29-07-2016,Frankfort,13,4297
1055,Herbert,Lincoln:&erUrJD,Herbert.Lincoln@gmail.com,12-12-2015,Little Rock,3,4140
1056,Woodrow,Harrison:&g8wVqW,"Woodrow.Harrison@yahoo.net,Woodrow.Harrison@company.org",10-03-2015,Phoenix,8,4856
1057,Jimmy,Arthur:&Um59m4,Jimmy.Arthur@yahoo.com,22-10-2016,Springfield,16,2278
1058,Gerald,Quincy:&NNovaT,Gerald.Quincy@yahoo.net,01-03-2016,Albany,17,3533
1059,George,Polk:&3MTNS1,George.Polk@yahoo.net,04-03-2016,Annapolis,9,2608
1060,James,Madison:&fElLaw,James.Madison@gmail.net,30-03-2015,Atlanta,7,4446
1061,Ronald,Arthur:&ZunphE,Ronald.Arthur@gmail.com,06-04-2015,Olympia,9,4245
1062,Woodrow,Harding:&nYjMYY,Woodrow.Harding@gmail.net,20-12-2016,Richmond,4,4310
1063,Woodrow,Taylor:&MnQUUd,Woodrow.Taylor@yahoo.net,10-05-2016,Dover,3,2177
1064,Franklin,Adams:&xPxqJC,"Franklin.Adams@gmail.net,Franklin.Adams@company.com",20-06-2016,Springfield,1,2715
1065,Chester,Adams:&iAl0Tc,Chester.Adams@yahoo.net,03-09-2015,Austin,9,2415
1066,Harry,Pierce:&ctqzHw,Harry.Pierce@gmail.com,29-11-2015,Columbia,2,3700
1067,Lyndon,McKinley:&V6Yli2,Lyndon.McKinley@yahoo.com,20-05-2015,Richmond,3,4610
1068,Warren,Taylor:&87TwjK,"Warren.Taylor@gmail.org,Warren.Taylor@company.org",24-08-2016,Montpelier,13,2272
1069,Bill,Clinton:&AgAvTU,Bill.Clinton@gmail.com,12-03-2015,Jackson,3,4766
1070,Benjamin,Hayes:&0tlura,Benjamin.Hayes@gmail.com,12-11-2015,Lansing,13,3155
1071,Rutherford,Harrison:&REfKjo,Rutherford.Harrison@yahoo.org,07-01-2015,Oklahoma City,18,4395
1072,James,Truman:&uzlBpE,James.Truman@yahoo.com,19-06-2015,Concord,13,4871
1073,Rutherford,Polk:&fz88vG,"Rutherford.Polk@yahoo.org,Rutherford.Polk@company.org",27-11-2016,Montpelier,8,4449
1074,Andrew,Grant:&fHO8uY,"Andrew.Grant@gmail.org,Andrew.Grant@company.com",02-03-2016,Sacramento,5,3052
1075,Millard,Garfield:&Vn8syL,Millard.Garfield@gmail.com,11-12-2015,Salt Lake City,12,4487
1076,Thomas,Jefferson:&o9OTfu,"Thomas.Jefferson@yahoo.net,Thomas.Jefferson@company.net",26-06-2015,Oklahoma City,13,2145
1077,Grover,Hoover:&BT0BmX,Grover.Hoover@yahoo.net,06-07-2015,Boise,19,2752
1078,Harry,Washington:&0eQmOo,"Harry.Washington@yahoo.net,Harry.Washington@company.com",10-01-2016,Helena,17,4702
1079,Ronald,Madison:&zVHn3D,"Ronald.Madison@yahoo.org,Ronald.Madison@company.com",18-02-2015,Pierre,10,3437
1080,Jimmy,Grant:&2fd9C2,Jimmy.Grant@yahoo.com,14-02-2015,Providence,11,3670
1081,Bill,Truman:&cRUYIo,Bill.Truman@gmail.net,11-09-2015,Providence,20,2272
1082,Woodrow,Clinton:&scSy7y,"Woodrow.Clinton@gmail.org,Woodrow.Clinton@company.net",12-06-2016,Lincoln,17,2622
1083,John,Harrison:&T7eMxC,John.Harrison@gmail.com,21-06-2015,Topeka,8,3091
1084,Calvin,Adams:&MPX1Jp,"Calvin.Adams@gmail.org,Calvin.Adams@company.com",11-11-2015,Lincoln,2,4811
1085,Warren,Harding:&agBXE5,Warren.Harding@gmail.net,07-04-2015,Saint Paul,5,2359
1086,Martin,Jefferson:&pUxORP,"Martin.Jefferson@yahoo.com,Martin.Jefferson@company.com",07-11-2016,Frankfort,18,2400
1087,Theodore,Harrison:&9RxgYn,"Theodore.Harrison@gmail.com,Theodore.Harrison@company.net",11-12-2016,Dover,20,4924
1088,James,Fillmore:&mKNlda,James.Fillmore@yahoo.org,26-04-2015,Columbus,7,3071
1089,Ronald,Pierce:&LeQCNU,"Ronald.Pierce@yahoo.org,Ronald.Pierce@company.com",06-07-2016,Salt Lake City,3,3943
1090,Lyndon,Van Buren:&mFe2IG,Lyndon.Van Buren@yahoo.org,22-02-2015,Des Moines,3,2343
1091,Theodore,Harrison:&ViLqku,"Theodore.Harrison@yahoo.net,Theodore.Harrison@company.net",26-11-2016,Honolulu,17,2434
1092,Lyndon,Grant:&NXxLxL,"Lyndon.Grant@gmail.org,Lyndon.Grant@company.org",28-07-2016,Salem,10,3937
1093,Benjamin,Kennedy:&dTi6g0,"Benjamin.Kennedy@yahoo.net,Benjamin.Kennedy@company.org",21-05-2016,Santa Fe,17,4400
1094,Rutherford,Van Buren:&Bsexvj,Rutherford.Van Buren@yahoo.org,05-03-2016,Bismarck,16,4993
1095,Gerald,Pierce:&Y28SC4,"Gerald.Pierce@yahoo.org,Gerald.Pierce@company.com",29-08-2015,Boston,11,2911
1096,Warren,Nixon:&l9BsZO,Warren.Nixon@gmail.org,26-09-2016,Saint Paul,1,3723
1097,Franklin,Polk:&kxecY7,"Franklin.Polk@yahoo.org,Franklin.Polk@company.org",21-05-2016,Dover,3,2720
1098,John,McKinley:&pYaL4T,"John.McKinley@yahoo.org,John.McKinley@company.com",07-04-2015,Harrisburg,16,3640
1099,Bill,Harrison:&K0YUXg,Bill.Harrison@gmail.org,16-04-2016,Boise,11,4800
1100,Theodore,Kennedy:&nV76xA,Theodore.Kennedy@gmail.com,31-05-2015,Raleigh,8,4137
1101,Harry,Polk:&OwjbbR,"Harry.Polk@yahoo.org,Harry.Polk@company.com",05-08-2015,Olympia,4,2481
1102,John,Garfield:&IV7P5a,John.Garfield@yahoo.com,28-01-2015,Baton Rouge,18,4204
1103,Jimmy,McKinley:&imtDhB,Jimmy.McKinley@yahoo.com,25-06-2016,Tallahassee,11,2778
1104,William,Johnson:&Kx5SMp,"William.Johnson@yahoo.org,William.Johnson@company.org",21-08-2015,Springfield,14,2607
1105,Woodrow,Tyler:&7oxIB9,Woodrow.Tyler@gmail.com,26-02-2016,Richmond,1,2586
1106,Warren,Taft:&dvfKaS,Warren.Taft@yahoo.net,19-10-2016,Jefferson City,13,4427
1107,Harry,Clinton:&i4Z2c6,Harry.Clinton@yahoo.net,08-12-2016,Carson City,7,4089
1108,Rutherford,Eisenhower:&Lfr8rj,"Rutherford.Eisenhower@yahoo.net,Rutherford.Eisenhower@company.net",16-09-2016,Baton Rouge,10,2767
1109,Ronald,Cleveland:&O5TzWt,"Ronald.Cleveland@gmail.net,Ronald.Cleveland@company.org",18-09-2016,Jackson,10,2058
1110,Woodrow,Carter:&7RfRKL,Woodrow.Carter@gmail.com,28-07-2015,Columbus,16,2763
1111,Franklin,Monroe:&J06dCa,Franklin.Monroe@gmail.com,28-04-2016,Des Moines,17,4482
1112,Warren,Eisenhower:&vwkWUX,Warren.Eisenhower@gmail.org,06-03-2016,Nashville,16,2581
1113,Woodrow,Roosevelt:&nGQlkE,"Woodrow.Roosevelt@gmail.com,Woodrow.Roosevelt@company.com",15-04-2015,Montpelier,4,3137
1114,Thomas,Tyler:&P5zaZE,Thomas.Tyler@gmail.com,28-02-2015,Providence,9,3433
1115,Warren,Lincoln:&KeE11p,"Warren.Lincoln@yahoo.org,Warren.Lincoln@company.org",05-12-2015,Annapolis,12,4530
1116,James,Monroe:&4w03Zs,"James.Monroe@gmail.com,James.Monroe@company.com",10-11-2016,Madison,20,4552
1117,Franklin,Roosevelt:&PZSMaQ,"Franklin.Roosevelt@yahoo.net,Franklin.Roosevelt@company.com",18-12-2015,Des Moines,20,3047
1118,Gerald,Lincoln:&sHmadC,Gerald.Lincoln@gmail.net,11-03-2016,Annapolis,2,2145
1119,George,Roosevelt:&FsojtC,George.Roosevelt@yahoo.com,05-03-2016,Harrisburg,10,4822
1120,Millard,Madison:&ys8ki7,Millard.Madison@gmail.org,29-01-2015,Juneau,19,4545
1121,Herbert,Reagan:&vHty0Q,"Herbert.Reagan@gmail.com,Herbert.Reagan@company.net",28-07-2015,Lansing,1,2411
1122,Richard,Lincoln:&eOCsu6,"Richard.Lincoln@yahoo.org,Richard.Lincoln@company.org",23-12-2015,Tallahassee,2,3217
1123,Richard,Fillmore:&PHys6M,Richard.Fillmore@yahoo.net,22-11-2015,Pierre,8,3835
1124,Franklin,Monroe:&0GioEu,Franklin.Monroe@yahoo.net,25-12-2015,Denver,5,2271
1125,Warren,Harrison:&xMhl1V,"Warren.Harrison@yahoo.com,Warren.Harrison@company.org",13-11-2016,Oklahoma City,16,3520
1126,Andrew,Ford:&MnGcbT,Andrew.Ford@gmail.com,23-04-2016,Honolulu,15,2309
1127,Warren,Polk:&ofE2Ti,Warren.Polk@yahoo.org,26-11-2016,Hartford,12,2741
1128,Ronald,Garfield:&UpSnsA,"Ronald.Garfield@gmail.net,Ronald.Garfield@company.com",26-11-2015,Austin,3,3267
1129,Zachary,Adams:&3wvd8P,Zachary.Adams@gmail.org,01-08-2015,Helena,19,2194
1130,Woodrow,Harding:&mLK0g6,"Woodrow.Harding@gmail.net,Woodrow.Harding@company.org",24-05-2016,Topeka,15,4172
1131,William,Johnson:&3HuUcH,William.Johnson@gmail.org,16-02-2016,Bismarck,9,3170
1132,Franklin,Johnson:&HZRAGU,Franklin.Johnson@yahoo.org,19-11-2015,Lincoln,14,3735
1133,Dwight,Quincy:&EmTzJl,Dwight.Quincy@yahoo.com,13-09-2015,Saint Paul,10,2900
1134,Calvin,Johnson:&umOuaC,Calvin.Johnson@gmail.net,11-09-2015,Jefferson City,6,3888
1135,Richard,Harrison:&zSgiBP,Richard.Harrison@gmail.com,21-12-2015,Helena,10,4935
1136,Herbert,Carter:&oYegeQ,"Herbert.Carter@yahoo.org,Herbert.Carter@company.net",12-05-2015,Little Rock,10,2163
1137,John,Taylor:&K1mWQ3,"John.Taylor@yahoo.com,John.Taylor@company.org",15-06-2015,Santa Fe,9,3549
1138,Warren,Jefferson:&MZkxqe,"Warren.Jefferson@yahoo.com,Warren.Jefferson@company.com",10-04-2016,Denver,10,3656
1139,Chester,Fillmore:&7sxJ84,Chester.Fillmore@yahoo.com,13-10-2015,Little Rock,9,4059
1140,Gerald,Eisenhower:&GXe8vr,"Gerald.Eisenhower@gmail.org,Gerald.Eisenhower@company.org",11-05-2016,Boise,12,3822
1141,James,Johnson:&ZF601f,James.Johnson@gmail.org,11-03-2015,Saint Paul,2,2176
1142,Lyndon,Wilson:&c5NcBH,"Lyndon.Wilson@yahoo.org,Lyndon.Wilson@company.com",19-07-2016,Madison,3,2875
1143,George,Buchanan:&vEiXKY,"George.Buchanan@gmail.net,George.Buchanan@company.com",05-07-2016,Albany,7,3845
1144,Bill,Kennedy:&BSZrn1,"Bill.Kennedy@yahoo.com,Bill.Kennedy@company.org",09-10-2015,Boston,8,4641
1145,Grover,Monroe:&14g7Dm,"Grover.Monroe@gmail.net,Grover.Monroe@company.com",23-03-2016,Juneau,15,2967
1146,Richard,Fillmore:&peevSE,"Richard.Fillmore@yahoo.org,Richard.Fillmore@company.net",20-07-2015,Salt Lake City,1,2811
1147,Rutherford,Quincy:&FjYOcq,"Rutherford.Quincy@gmail.org,Rutherford.Quincy@company.com",12-06-2016,Des Moines,10,4755
1148,Calvin,Ford:&ZxZO6p,"Calvin.Ford@yahoo.org,Calvin.Ford@company.com",09-10-2016,Salem,5,2372
1149,Andrew,Buchanan:&cnlSWT,Andrew.Buchanan@gmail.com,07-04-2016,Indianapolis,7,2175
1150,Benjamin,Adams:&Rzx3qd,Benjamin.Adams@gmail.com,04-06-2015,Sacramento,2,3577
1151,Woodrow,Kennedy:&mhJuuC,"Woodrow.Kennedy@gmail.org,Woodrow.Kennedy@company.net",19-01-2015,Carson City,18,3044
1152,Rutherford,Van Buren:&pv0O2B,"Rutherford.Van Buren@gmail.net,Rutherford.Van Buren@company.com",17-06-2016,Denver,16,3684
1153,Lyndon,Harrison:&BV7qj2,Lyndon.Harrison@yahoo.org,14-03-2016,Topeka,15,3461
1154,Dwight,Cleveland:&gDDHUc,Dwight.Cleveland@yahoo.net,28-06-2015,Oklahoma City,18,3207
1155,Thomas,Taft:&6EySXA,Thomas.Taft@gmail.com,25-10-2016,Annapolis,3,4846
1156,Lyndon,Grant:&TNrDqH,Lyndon.Grant@gmail.net,04-04-2016,Madison,6,2409
1157,Grover,Adams:&XgFKSy,Grover.Adams@yahoo.com,23-08-2016,Hartford,13,3251
1158,Thomas,Fillmore:&ICt3qF,"Thomas.Fillmore@yahoo.net,Thomas.Fillmore@company.org",22-04-2016,Honolulu,2,2978
1159,Lyndon,Tyler:&iKhuCv,Lyndon.Tyler@gmail.com,05-07-2016,Santa Fe,13,3981
1160,Zachary,Jefferson:&1ulZkx,"Zachary.Jefferson@gmail.org,Zachary.Jefferson@company.com",05-04-2016,Baton Rouge,9,4806
1161,Ulysses,Pierce:&vytzoE,"Ulysses.Pierce@gmail.net,Ulysses.Pierce@company.net",19-12-2016,Austin,4,4665
1162,Benjamin,Taylor:&KD15US,"Benjamin.Taylor@gmail.net,Benjamin.Taylor@company.org",08-06-2015,Annapolis,15,4113
1163,Harry,Madison:&3J9QVh,Harry.Madison@yahoo.net,04-12-2015,Indianapolis,5,3636
1164,Herbert,Taft:&p76Ji8,Herbert.Taft@yahoo.net,03-02-2015,Albany,11,3483
1165,Warren,Eisenhower:&qXeYuX,"Warren.Eisenhower@gmail.net,Warren.Eisenhower@company.org",14-03-2015,Little Rock,3,4593
1166,Martin,Pierce:&f8CKkz,Martin.Pierce@gmail.net,15-10-2016,Saint Paul,18,3716
1167,Richard,Truman:&kBKnAs,"Richard.Truman@yahoo.net,Richard.Truman@company.net",07-02-2015,Albany,15,3486
1168,Rutherford,Truman:&JZuGO2,"Rutherford.Truman@gmail.org,Rutherford.Truman@company.com",23-12-2016,Saint Paul,13,3237
1169,John,Polk:&GOBK9C,John.Polk@gmail.net,28-10-2015,Nashville,19,2553
1170,Warren,Roosevelt:&N97unG,"Warren.Roosevelt@gmail.net,Warren.Roosevelt@company.net",05-06-2015,Boise,19,2335
1171,Martin,Ford:&nTnHS9,"Martin.Ford@yahoo.net,Martin.Ford@company.com",31-03-2015,Albany,3,4374
1172,Bill,Quincy:&lyPUxX,"Bill.Quincy@gmail.net,Bill.Quincy@company.com",09-12-2016,Bismarck,14,2618
1173,Richard,Coolidge:&Opn2h5,Richard.Coolidge@gmail.com,27-08-2015,Juneau,9,3433
1174,Warren,Tyler:&x4xV7Q,Warren.Tyler@yahoo.com,24-09-2016,Jackson,15,2106
1175,Thomas,Lincoln:&TQMAs7,Thomas.Lincoln@yahoo.net,13-09-2015,Hartford,20,2324
1176,Millard,Van Buren:&o6XJHH,"Millard.Van Buren@yahoo.com,Millard.Van Buren@company.com",20-08-2016,Honolulu,12,3087
1177,Jimmy,Pierce:&J9UDYC,"Jimmy.Pierce@gmail.org,Jimmy.Pierce@company.org",23-04-2015,Lansing,12,2445
1178,Jimmy,Tyler:&miwIWP,Jimmy.Tyler@yahoo.net,06-04-2015,Augusta,14,4284
1179,Chester,Buchanan:&vUrLdi,Chester.Buchanan@yahoo.org,30-03-2016,Providence,5,3912
1180,Martin,Washington:&167d8z,"Martin.Washington@gmail.com,Martin.Washington@company.org",02-09-2016,Raleigh,5,4265
1181,Ronald,Roosevelt:&SkjZC7,Ronald.Roosevelt@yahoo.net,24-05-2015,Pierre,9,4706
1182,John,Kennedy:&CJPT8s,John.Kennedy@gmail.com,22-05-2015,Austin,17,4219
1183,George,Taft:&dXZCxT,George.Taft@gmail.net,23-03-2015,Cheyenne,19,4572
1184,John,Kennedy:&PTf5M4,John.Kennedy@yahoo.net,23-07-2016,Lansing,6,4572
1185,Thomas,Buchanan:&aZsSnM,Thomas.Buchanan@gmail.net,26-01-2015,Little Rock,12,2264
1186,William,Pierce:&wLJknq,William.Pierce@gmail.com,14-02-2016,Columbus,11,3935
1187,Franklin,Johnson:&rLvK7X,"Franklin.Johnson@yahoo.net,Franklin.Johnson@company.org",06-02-2016,Augusta,3,4613
1188,Ronald,Hayes:&v64onT,Ronald.Hayes@gmail.com,14-09-2016,Trenton,15,3691
1189,Theodore,McKinley:&OkyWgD,"Theodore.McKinley@gmail.org,Theodore.McKinley@company.com",26-02-2015,Columbia,10,2698
1190,John,Fillmore:&upiAVA,John.Fillmore@yahoo.org,04-12-2015,Boston,1,2327
1191,Franklin,Eisenhower:&qqf8jk,Franklin.Eisenhower@gmail.net,29-05-2015,Springfield,1,2269
1192,Thomas,Clinton:&Wwto4u,"Thomas.Clinton@yahoo.org,Thomas.Clinton@company.org",16-06-2016,Salem,16,2421
1193,Thomas,Adams:&tDQRfD,"Thomas.Adams@yahoo.com,Thomas.Adams@company.net",10-07-2015,Cheyenne,16,3094
1194,Warren,Johnson:&sR6FI6,Warren.Johnson@yahoo.org,10-02-2015,Des Moines,13,4796
1195,Herbert,Eisenhower:&MnzRHT,Herbert.Eisenhower@gmail.org,20-04-2016,Tallahassee,18,2709
1196,Lyndon,Carter:&TAQw4l,Lyndon.Carter@yahoo.org,04-11-2015,Frankfort,15,4339
1197,Calvin,Arthur:&H8vowz,Calvin.Arthur@gmail.net,04-01-2016,Raleigh,7,4725
1198,Gerald,Harding:&zuSuZ7,"Gerald.Harding@yahoo.org,Gerald.Harding@company.com",05-01-2016,Trenton,16,3089
1199,Andrew,Reagan:&7MHzuq,Andrew.Reagan@gmail.org,12-09-2015,Lincoln,18,2167
1200,Ronald,Johnson:&Y6afzp,"Ronald.Johnson@yahoo.net,Ronald.Johnson@company.org",03-08-2015,Columbia,14,4416
1201,Lyndon,Clinton:&rng9Fy,Lyndon.Clinton@gmail.net,22-12-2015,Columbus,9,3068
1202,Ulysses,Jefferson:&68iLwk,Ulysses.Jefferson@gmail.com,24-02-2015,Lincoln,17,4076
1203,John,Reagan:&Q97jxU,John.Reagan@gmail.org,16-01-2016,Salt Lake City,5,4673
1204,Benjamin,Truman:&NFPiR2,"Benjamin.Truman@yahoo.org,Benjamin.Truman@company.net",06-08-2015,Lincoln,15,3364
1205,Woodrow,Johnson:&uSojuS,"Woodrow.Johnson@gmail.com,Woodrow.Johnson@company.com",12-04-2016,Tallahassee,1,4632
1206,Thomas,Roosevelt:&hj3Gzt,"Thomas.Roosevelt@gmail.com,Thomas.Roosevelt@company.org",04-10-2015,Saint Paul,8,3786
1207,Thomas,Pierce:&veoSDF,Thomas.Pierce@gmail.com,11-07-2016,Montgomery,4,3477
1208,Gerald,Grant:&XsDt0D,Gerald.Grant@yahoo.org,24-07-2016,Atlanta,15,3301
1209,Bill,Clinton:&bzh70u,Bill.Clinton@yahoo.org,27-03-2016,Boston,15,3703
1210,Ronald,Reagan:&mtHRO4,Ronald.Reagan@yahoo.org,19-10-2015,Richmond,9,2070
1211,George,Johnson:&s4LqOn,"George.Johnson@yahoo.net,George.Johnson@company.org",20-08-2015,Boston,10,3215
1212,Abraham,Pierce:&2Ejn3T,"Abraham.Pierce@gmail.com,Abraham.Pierce@company.org",17-03-2016,Phoenix,7,3332
1213,Herbert,Adams:&vJIdAi,"Herbert.Adams@gmail.com,Herbert.Adams@company.com",25-07-2015,Richmond,13,2150
1214,Woodrow,Buchanan:&HVZDz2,Woodrow.Buchanan@yahoo.com,08-10-2015,Little Rock,16,4884
1215,Andrew,Harrison:&A7L8zk,Andrew.Harrison@gmail.com,23-03-2016,Santa Fe,18,3608
1216,Warren,Buchanan:&frzMfD,Warren.Buchanan@yahoo.net,25-10-2015,Jackson,3,3659
1217,Benjamin,Nixon:&WluZbh,Benjamin.Nixon@yahoo.com,15-04-2015,Honolulu,20,4427
1218,Bill,Taft:&yYe5cp,"Bill.Taft@gmail.org,Bill.Taft@company.com",04-10-2016,Richmond,3,2478
1219,Millard,Taylor:&R0MFtl,Millard.Taylor@yahoo.org,22-09-2016,Topeka,18,3790
1220,Martin,Cleveland:&WewgpW,"Martin.Cleveland@gmail.com,Martin.Cleveland@company.com",28-03-2015,Tallahassee,10,2910
1221,Calvin,Van Buren:&xQ3fR1,Calvin.Van Buren@gmail.com,15-07-2015,Oklahoma City,12,4449
1222,Grover,Washington:&TtJ3pj,Grover.Washington@gmail.net,29-08-2016,Des Moines,3,4857
1223,Ronald,Harding:&LvfvxL,Ronald.Harding@gmail.net,01-06-2016,Hartford,11,3585
1224,Lyndon,Roosevelt:&8kr8l8,Lyndon.Roosevelt@yahoo.org,14-04-2015,Raleigh,7,3036
1225,Bill,Tyler:&nj6Ptc,Bill.Tyler@yahoo.net,04-06-2016,Oklahoma City,4,2794
1226,Chester,Quincy:&76KkDE,Chester.Quincy@yahoo.net,22-05-2015,Trenton,3,4426
1227,Calvin,Harrison:&rnJ0gW,Calvin.Harrison@yahoo.org,19-01-2016,Cheyenne,3,3496
1228,William,Ford:&kMMPU4,William.Ford@yahoo.com,10-09-2015,Lansing,12,2925
1229,Chester,Fillmore:&MarJLZ,"Chester.Fillmore@gmail.org,Chester.Fillmore@company.org",08-07-2015,Jefferson City,12,4374
